[2008.0-2014.0]&3.0&10.0&11.0&59.0&59.0,0,0,9976.175298,9945.490585,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06
3.0&[2008.0-2014.0]&10.0&11.0&59.0&59.0,0,0,2498.061654,1666.666667,828.7908821,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,,,,,,,,,,,,
3.0&10.0&[2008.0-2014.0]&11.0&59.0&59.0,0,0,1944.378139,1666.666667,250,27.62636274,0.002294167,2.22E-04,3.70E-06,0.01124142,3.82E-06,6.37E-08,0.002294167,2.22E-04,3.70E-06,0.01124142,3.82E-06,6.37E-08,0.002294167,2.22E-04,3.70E-06,0.01124142,3.82E-06,6.37E-08,0.002294167,2.22E-04,3.70E-06,0.01124142,3.82E-06,6.37E-08,0.002294167,2.22E-04,3.70E-06,0.01124142,3.82E-06,6.37E-08,0.002294167,2.22E-04,3.70E-06,0.01124142,3.82E-06,6.37E-08,0.002294167,2.22E-04,3.70E-06,,,,,,,,,,,,,,,,,,,,,,,,
3.0&10.0&11.0&[2008.0-2014.0]&59.0&59.0,0,0,1921.758337,1666.666667,250,4.62962963,0.460439379,2.22E-04,3.70E-06,3.82E-06,6.37E-08,2.22E-04,3.70E-06,3.82E-06,6.37E-08,2.22E-04,3.70E-06,3.82E-06,6.37E-08,2.22E-04,3.70E-06,3.82E-06,6.37E-08,2.22E-04,3.70E-06,3.82E-06,6.37E-08,2.22E-04,3.70E-06,3.82E-06,6.37E-08,2.22E-04,3.70E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0&10.0&11.0&59.0&[2008.0-2014.0]&59.0,0,0,1921.751527,1666.666667,250,4.62962963,0.447530864,0.00767399,3.70E-06,6.37E-08,3.70E-06,6.37E-08,3.70E-06,6.37E-08,3.70E-06,6.37E-08,3.70E-06,6.37E-08,3.70E-06,6.37E-08,3.70E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0&10.0&11.0&59.0&59.0&[2008.0-2014.0],0,0,1921.751414,1666.666667,250,4.62962963,0.447530864,0.007458848,1.28E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2.0-8.0]&3.0&10.0&11.0&59.0&59.0,0,0,35.64011423,4.955401388,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06,3.716551041,0.275300077,0.01124142,3.82E-06,6.37E-08,0.825900231,0.123885035,0.002294167,2.22E-04,3.70E-06
3.0&[2.0-8.0]&10.0&11.0&59.0&59.0,0,0,1669.683722,1666.666667,0.412950116,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,0.275300077,0.01124142,3.82E-06,6.37E-08,0.123885035,0.002294167,2.22E-04,3.70E-06,,,,,,,,,,,,
